frame_id,time_stamp, ,normal, , ,start, , ,end, , ,direction, 
54649,352686747988,0.711135,-0.70257,-0.0261296,-38.8161,147.044,-28.8416,-23.9962,154.961,-40.5852,-0.722942,-0.386216,0.57288
54649,352686747988,0.711135,-0.70257,-0.0261296,-105.163,128.211,-0.370962,-67.5567,154.356,-45.6998,-0.58359,-0.405726,0.703427
54649,352686747988,0.711135,-0.70257,-0.0261296,-67.5567,154.356,-45.6998,-45.4939,156.824,-76.0845,-0.586293,-0.0656062,0.807439
54649,352686747988,0.711135,-0.70257,-0.0261296,-45.4939,156.824,-76.0845,-32.2169,156.717,-92.5744,-0.627137,0.00506609,0.778893
54649,352686747988,0.711135,-0.70257,-0.0261296,-32.2169,156.717,-92.5744,-22.4285,155.867,-103.863,-0.654068,0.0567849,0.754301
54649,352686747988,0.711135,-0.70257,-0.0261296,-111.25,124.338,-8.38811,-80.1374,144.73,-56.8712,-0.509124,-0.333697,0.793372
54649,352686747988,0.711135,-0.70257,-0.0261296,-80.1374,144.73,-56.8712,-53.5425,145.632,-89.6483,-0.629928,-0.0213704,0.77636
54649,352686747988,0.711135,-0.70257,-0.0261296,-53.5425,145.632,-89.6483,-37.0079,145.055,-108.267,-0.663838,0.0231606,0.747518
54649,352686747988,0.711135,-0.70257,-0.0261296,-37.0079,145.055,-108.267,-25.7053,144.146,-120.199,-0.686669,0.0552319,0.724869
54649,352686747988,0.711135,-0.70257,-0.0261296,-116.479,117.984,-15.322,-93.5326,131.411,-63.317,-0.418229,-0.244721,0.874755
54649,352686747988,0.711135,-0.70257,-0.0261296,-93.5326,131.411,-63.317,-66.9684,135.727,-91.7295,-0.678783,-0.110277,0.726011
54649,352686747988,0.711135,-0.70257,-0.0261296,-66.9684,135.727,-91.7295,-49.2913,136.926,-108.308,-0.728519,-0.0494049,0.683242
54649,352686747988,0.711135,-0.70257,-0.0261296,-49.2913,136.926,-108.308,-36.843,137.014,-118.931,-0.760649,-0.00542925,0.64914
54649,352686747988,0.711135,-0.70257,-0.0261296,-118.708,106.578,-19.8329,-103.524,116.063,-67.3625,-0.29896,-0.186746,0.935815
54649,352686747988,0.711135,-0.70257,-0.0261296,-103.524,116.063,-67.3625,-82.6976,121.93,-89.5227,-0.672428,-0.189446,0.715507
54649,352686747988,0.711135,-0.70257,-0.0261296,-82.6976,121.93,-89.5227,-70.3044,124.396,-101.091,-0.72341,-0.143904,0.675255
54649,352686747988,0.711135,-0.70257,-0.0261296,-70.3044,124.396,-101.091,-58.8824,126.077,-110.82,-0.756531,-0.111341,0.64441
